"vehicle_id","route_id","route_short_name","destination","x_lon","y_lat","captured_at_jst","current_status","stop_name"
"F586","040","業10","新橋","139.779999","35.660812","2026-05-08 11:25:58","IN_TRANSIT_TO","月島第一小学校前"
"G707","040","業10","新橋","139.761627","35.670876","2026-05-08 11:25:58","IN_TRANSIT_TO","銀座西六丁目"
"D309","044","錦11","亀戸駅前","139.810623","35.689278","2026-05-08 11:25:58","IN_TRANSIT_TO","住吉一丁目"
"C290","041","業10出入","とうきょうスカイツリー駅前","139.805786","35.669868","2026-05-08 11:25:58","IN_TRANSIT_TO","木場駅前"
"F651","041","業10出入","深川車庫前","139.805176","35.712086","2026-05-08 11:25:58","IN_TRANSIT_TO","言問橋"
"C271","041","業10出入","深川車庫前","139.806595","35.683132","2026-05-08 11:25:58","IN_TRANSIT_TO","白河"
"D107","041","業10出入","深川車庫前","139.801605","35.657764","2026-05-08 11:25:58","IN_TRANSIT_TO","枝川"
"E504","041","業10出入","新橋","139.786011","35.657913","2026-05-08 11:25:58","IN_TRANSIT_TO","晴海一丁目"
"C289","041","業10出入","新橋","139.765686","35.670567","2026-05-08 11:25:58","IN_TRANSIT_TO","銀座四丁目"
"C269","041","業10出入","深川車庫前","139.766312","35.67038","2026-05-08 11:25:58","IN_TRANSIT_TO","銀座四丁目"
"M456","041","業10出入","深川車庫前","139.790649","35.659122","2026-05-08 11:25:58","IN_TRANSIT_TO","春海橋"
"C287","041","業10出入","深川車庫前","139.79982","35.645321","2026-05-08 11:25:58","IN_TRANSIT_TO","東雲都橋"
"B751","045","木11甲","木場駅前","139.821518","35.669647","2026-05-08 11:25:58","IN_TRANSIT_TO","江東運転免許試験場前"
"W408","045","木11甲","東陽町駅前","139.823837","35.662731","2026-05-08 11:25:58","IN_TRANSIT_TO","東京地下鉄総合運動場前"
"Y482","045","木11甲","東陽町駅前","139.834641","35.634663","2026-05-08 11:25:58","IN_TRANSIT_TO","新木場三丁目"
"Y477","046","錦13","豊洲駅前","139.804413","35.656857","2026-05-08 11:25:58","IN_TRANSIT_TO","枝川一丁目"
"H987","046","錦13","深川車庫前","139.811996","35.677933","2026-05-08 11:25:58","IN_TRANSIT_TO","千石一丁目(せんごくいっちょうめ（こうとうく）)"
"W405","046","錦13","錦糸町駅前","139.806137","35.661587","2026-05-08 11:25:58","IN_TRANSIT_TO","塩浜二丁目"
"V313","046","錦13","晴海埠頭","139.814529","35.695892","2026-05-08 11:25:58","IN_TRANSIT_TO","錦糸町駅前"
"E122","046","錦13","晴海埠頭","139.795258","35.6548","2026-05-08 11:25:58","IN_TRANSIT_TO","豊洲駅前"
"W406","046","錦13","錦糸町駅前","139.811157","35.683964","2026-05-08 11:25:58","IN_TRANSIT_TO","扇橋一丁目"
"B752","049","東15","東京駅八重洲口","139.78093","35.655811","2026-05-08 11:25:58","IN_TRANSIT_TO","晴海三丁目"
"B783","049","東15","深川車庫前","139.781097","35.674759","2026-05-08 11:25:58","IN_TRANSIT_TO","新川二丁目"
"C235","049","東15","深川車庫前","139.798676","35.652672","2026-05-08 11:25:58","IN_TRANSIT_TO","深川五中前"
"B758","051","錦18","国際展示場駅前","139.82637","35.645264","2026-05-08 11:25:58","IN_TRANSIT_TO","新木場駅前（構内）"
"C285","051","錦18","錦糸町駅前","139.826187","35.690002","2026-05-08 11:25:58","IN_TRANSIT_TO","西大島駅前"
"G790","053","陽20","東陽町駅前","139.844437","35.681362","2026-05-08 11:25:58","IN_TRANSIT_TO","東砂三丁目"
