"captured_at_jst","source","vehicle_id","vehicle_label","trip_id","route_id","route_short_name","route_display_name","destination","latitude","longitude","current_status","stop_id","stop_name","next_stop_name","current_stop_name","timestamp","feed_timestamp"
"2026-05-08 11:25:58","odpt","A580","A580","73507-1-06-170-1120","023","都03","都03 四谷駅行","四谷駅","35.653961","139.779465","IN_TRANSIT_TO","1251-01","ホテルマリナーズコート東京前","ホテルマリナーズコート東京前",,"1778207043","1778207149"
"2026-05-08 11:25:58","odpt","H862","H862","73507-2-06-170-1058","023","都03","都03 晴海五丁目ターミナル行","晴海五丁目ターミナル","35.660614","139.776581","IN_TRANSIT_TO","0325-02","勝どき橋南詰","勝どき橋南詰",,"1778207121","1778207149"
"2026-05-08 11:25:58","odpt","A624","A624","44103-3-37-170-1123","027","学05","学05 目白駅前行","目白駅前","35.721146","139.70787","IN_TRANSIT_TO","1529-07","目白駅前","目白駅前",,"1778206997","1778207149"
"2026-05-08 11:25:58","odpt","H866","H866","08004-1-09-172-1125","024","学03","学03 日赤医療センター前行","日赤医療センター前","35.659187","139.701828","IN_TRANSIT_TO","0636-05","渋谷駅前","渋谷駅前",,"1778207112","1778207149"
"2026-05-08 11:25:58","odpt","K217","K217","08004-1-09-172-1119","024","学03","学03 日赤医療センター前行","日赤医療センター前","35.65847","139.707397","IN_TRANSIT_TO","0005-01","渋谷三丁目","渋谷三丁目",,"1778207065","1778207149"
"2026-05-08 11:25:58","odpt","L316","L316","08004-1-09-172-1113","024","学03","学03 日赤医療センター前行","日赤医療センター前","35.655216","139.713272","IN_TRANSIT_TO","1323-03","東四丁目","東四丁目",,"1778207082","1778207149"
"2026-05-08 11:25:58","odpt","K220","K220","08004-2-09-172-1124","024","学03","学03 渋谷駅前行","渋谷駅前","35.655174","139.717667","IN_TRANSIT_TO","1175-01","日赤医療センター前","日赤医療センター前",,"1778207051","1778207149"
"2026-05-08 11:25:58","odpt","A585","A585","08004-2-09-172-1118","024","学03","学03 渋谷駅前行","渋谷駅前","35.6577","139.710587","IN_TRANSIT_TO","0006-01","青山学院初等部前","青山学院初等部前",,"1778207111","1778207149"
"2026-05-08 11:25:58","odpt","H983","H983","72301-1-69-170-1119","026","都04","都04 東京駅丸の内南口行","東京駅丸の内南口","35.658115","139.775711","IN_TRANSIT_TO","0327-02","勝どき三丁目","勝どき三丁目",,"1778207053","1778207149"
"2026-05-08 11:25:58","odpt","C203","C203","72301-1-06-170-1107","026","都04","都04 東京駅丸の内南口行","東京駅丸の内南口","35.670567","139.765686","IN_TRANSIT_TO","0448-07","銀座四丁目","銀座四丁目",,"1778206978","1778207149"
"2026-05-08 11:25:58","odpt","H860","H860","72301-2-06-170-1124","026","都04","都04 豊海水産埠頭行","豊海水産埠頭","35.680859","139.764694","IN_TRANSIT_TO","0966-02","東京駅丸の内南口","東京駅丸の内南口",,"1778207047","1778207149"
"2026-05-08 11:25:58","odpt","G780","G780","72301-2-06-170-1112","026","都04","都04 豊海水産埠頭行","豊海水産埠頭","35.667866","139.769302","IN_TRANSIT_TO","0939-01","築地","築地",,"1778207127","1778207149"
"2026-05-08 11:25:58","odpt","F569","F569","72301-2-06-170-1101","026","都04","都04 豊海水産埠頭行","豊海水産埠頭","35.656155","139.773285","IN_TRANSIT_TO","1127-01","新島橋","新島橋",,"1778207042","1778207149"
"2026-05-08 11:25:58","odpt","G832","G832","08102-1-09-172-1123","032","学06","学06 日赤医療センター前行","日赤医療センター前","35.64698","139.709442","IN_TRANSIT_TO","0183-01","恵比寿駅前","恵比寿駅前",,"1778206985","1778207149"
"2026-05-08 11:25:58","odpt","L313","L313","08102-1-09-172-1115","032","学06","学06 日赤医療センター前行","日赤医療センター前","35.655811","139.717575","IN_TRANSIT_TO","0970-02","東京女学館前","東京女学館前",,"1778207111","1778207149"
"2026-05-08 11:25:58","odpt","C210","C210","08102-2-09-172-1120","032","学06","学06 恵比寿駅前行","恵比寿駅前","35.65242","139.71347","IN_TRANSIT_TO","1356-02","広尾高校前","広尾高校前",,"1778207095","1778207149"
"2026-05-08 11:25:58","odpt","B791","B791","08601-1-09-172-1118","031","都06","都06 新橋駅前行","新橋駅前","35.65234","139.709045","IN_TRANSIT_TO","1322-01","東二丁目","東二丁目",,"1778207049","1778207149"
"2026-05-08 11:25:58","odpt","G827","G827","08601-1-09-172-1102","031","都06","都06 新橋駅前行","新橋駅前","35.64716","139.736053","IN_TRANSIT_TO","1380-01","古川橋","古川橋",,"1778207102","1778207149"
