vehicle_id,route_id,route_short_name,route_display_name,route_label,destination,trip_id,pattern_id,stop_id,stop_name,next_stop_name,current_stop_name,current_status,timestamp,feed_timestamp,source,longitude,latitude
B744,099,王40甲,王40甲 江北四丁目行,王40甲,江北四丁目,40014-1-49-170-2209,40014,1402-01,堀割,堀割,,IN_TRANSIT_TO,1777641558,1777641609,odpt,139.725952,35.741898
D347,101,草41,草41 足立梅田町行,草41,足立梅田町,48201-2-53-170-2210,48201,0121-02,入谷鬼子母神,入谷鬼子母神,,IN_TRANSIT_TO,1777641519,1777641609,odpt,139.783157,35.719978
M416,101,草41,草41 足立梅田町行,草41,足立梅田町,48201-2-53-170-2147,48201,0114-01,一本松,一本松,,IN_TRANSIT_TO,1777641545,1777641609,odpt,139.783325,35.747074
B795,102,東42－1,東42－1 東京駅八重洲口行,東42－1,東京駅八重洲口,52201-1-57-170-2200,52201,0037-03,浅草橋駅前,浅草橋駅前,,IN_TRANSIT_TO,1777641532,1777641609,odpt,139.78685,35.697952
G773,102,東42－1,東42－1 南千住車庫前行,東42－1,南千住車庫前,52201-2-57-170-2212,52201,1185-01,日本橋,日本橋,,IN_TRANSIT_TO,1777641594,1777641609,odpt,139.774063,35.683308
F674,107,端44,端44 北千住駅前行,端44,北千住駅前,48401-2-53-170-2210,48401,0019-02,赤土小学校前,赤土小学校前,,IN_TRANSIT_TO,1777641554,1777641609,odpt,139.768829,35.742149
K245,107,端44,端44 北千住駅前行,端44,北千住駅前,48401-2-53-170-2151,48401,0820-04,千住二丁目,千住二丁目,,IN_TRANSIT_TO,1777641452,1777641609,odpt,139.799377,35.750957
F613,105,東43,東43 荒川土手行,東43,荒川土手,40402-2-49-170-2135,40402,0745-01,小台二丁目,小台二丁目,,IN_TRANSIT_TO,1777641538,1777641609,odpt,139.760849,35.756397
H899,105,東43,東43 荒川土手行,東43,荒川土手,40404-2-49-170-2215,40404,0898-02,田端駅前,田端駅前,,IN_TRANSIT_TO,1777641546,1777641609,odpt,139.760712,35.738754
C250,109,上46,上46 南千住車庫前行,上46,南千住車庫前,52004-2-57-170-2218,52004,2574-01,ドナウ通り,ドナウ通り,,IN_TRANSIT_TO,1777641551,1777641609,odpt,139.801666,35.734863
B700,109,上46,上46 南千住車庫前行,上46,南千住車庫前,52005-2-57-170-2205,52005,0038-01,浅草一丁目,浅草一丁目,,IN_TRANSIT_TO,1777641563,1777641609,odpt,139.791946,35.711918
H955,110,北47,北47 北千住駅前行,北47,北千住駅前,48103-1-53-170-2201,48103,1568-02,弥生町,弥生町,,IN_TRANSIT_TO,1777641593,1777641609,odpt,139.803482,35.772774
H954,110,北47,北47 竹の塚駅前行,北47,竹の塚駅前,48103-2-53-170-2205,48103,0051-01,足立区役所前,足立区役所前,,IN_TRANSIT_TO,1777641561,1777641609,odpt,139.803116,35.775883
C233,110,北47,北47 千住車庫前行,北47,千住車庫前,48107-1-53-170-2213,48107,0642-02,島根町,島根町,,IN_TRANSIT_TO,1777641546,1777641609,odpt,139.803177,35.782391
D903,117,茶51,茶51 駒込駅南口行,茶51,駒込駅南口,36302-2-45-170-2215,36302,0027-01,秋葉原駅前,秋葉原駅前,,IN_TRANSIT_TO,1777641306,1777641609,odpt,139.773682,35.699081
F599,118,王55,王55 新田一丁目行,王55,新田一丁目,40804-1-49-170-2206,40804,2556-02,ハートアイランド東,ハートアイランド東,,IN_TRANSIT_TO,1777641554,1777641609,odpt,139.748657,35.770046
E424,118,王55,王55 王子駅前行,王55,王子駅前,40806-3-49-170-2153,40806,0200-01,王子四丁目,王子四丁目,,IN_TRANSIT_TO,1777641576,1777641609,odpt,139.736893,35.762756
M403,118,王55,王55 新田二丁目行,王55,新田二丁目,40809-1-49-170-2218,40809,0198-02,王子二丁目,王子二丁目,,IN_TRANSIT_TO,1777641598,1777641609,odpt,139.737152,35.755672
D351,116,王49,王49 千住車庫前行,王49,千住車庫前,48001-2-53-170-2210,48001,0723-03,環七新田,環七新田,,IN_TRANSIT_TO,1777641560,1777641609,odpt,139.739136,35.772892
G753,119,王57,王57 豊島五丁目団地行,王57,豊島五丁目団地,40301-1-49-170-2212,40301,0663-01,志茂一丁目,志茂一丁目,,IN_TRANSIT_TO,1777641525,1777641609,odpt,139.732666,35.777969
G754,119,王57,王57 赤羽駅東口行,王57,赤羽駅東口,40301-2-49-170-2211,40301,0196-13,王子駅前,王子駅前,,IN_TRANSIT_TO,1777641492,1777641609,odpt,139.738708,35.753902
M423,122,白61,白61 練馬車庫前行,白61,練馬車庫前,44201-2-37-170-2200,44201,1547-01,薬王寺町,薬王寺町,,IN_TRANSIT_TO,1777641576,1777641609,odpt,139.725082,35.696049
K253,122,白61,白61 練馬車庫前行,白61,練馬車庫前,44201-2-37-170-2144,44201,0647-01,下落合三丁目,下落合三丁目,,IN_TRANSIT_TO,1777641545,1777641609,odpt,139.702576,35.7225
F579,122,白61,白61 練馬車庫前行,白61,練馬車庫前,44201-2-37-170-2128,44201,1516-02,武蔵大学前,武蔵大学前,,IN_TRANSIT_TO,1777641577,1777641609,odpt,139.668228,35.737595
H874,120,上58,上58 早稲田行,上58,早稲田,20101-2-33-170-2201,20101,0359-02,上富士前,上富士前,,IN_TRANSIT_TO,1777641576,1777641609,odpt,139.750015,35.732574
G801,126,草63,草63 池袋駅東口行,草63,池袋駅東口,36002-2-45-170-2145,36002,0544-01,千駄木一丁目,千駄木一丁目,,IN_TRANSIT_TO,1777641572,1777641609,odpt,139.760223,35.724957
E417,126,草63,草63 巣鴨駅前行,草63,巣鴨駅前,36004-2-45-170-2205,36004,1493-01,三ノ輪駅前,三ノ輪駅前,,IN_TRANSIT_TO,1777641564,1777641609,odpt,139.791061,35.729424
A619,126,草63,草63 とげぬき地蔵前行,草63,とげぬき地蔵前,36414-1-45-170-2215,36414,0342-01,上池袋一丁目,上池袋一丁目,,IN_TRANSIT_TO,1777641572,1777641609,odpt,139.719177,35.735809
Z504,125,橋63,橋63 小滝橋車庫前行,橋63,小滝橋車庫前,16401-2-29-170-2145,16401,2578-02,新宿ここ・から広場前,新宿ここ・から広場前,,IN_TRANSIT_TO,1777641547,1777641609,odpt,139.712097,35.70126
A613,128,草64,草64 池袋駅東口行,草64,池袋駅東口,36402-2-45-170-2140,36402,0196-14,王子駅前,王子駅前,,IN_TRANSIT_TO,1777641594,1777641609,odpt,139.738586,35.753704
C223,128,草64,草64 とげぬき地蔵前行,草64,とげぬき地蔵前,36405-2-45-170-2200,36405,0064-02,荒川区役所前,荒川区役所前,,IN_TRANSIT_TO,1777641546,1777641609,odpt,139.784073,35.734814
Z548,127,飯64,飯64 小滝橋車庫前行,飯64,小滝橋車庫前,16001-3-29-170-2200,16001,0091-01,石切橋,石切橋,,IN_TRANSIT_TO,1777641581,1777641609,odpt,139.735214,35.709141
